"Status","Name","Duration in ms","Description"
"passed","TC02_FailedRegistration.unsuccessfulRegistration","4617",""
"passed","TC12_SavingDataFromTheWebApplication.savingDataToFile","3141",""
"passed","TC03_SuccessfulLogin.successfulLogin","3448",""
"passed","TC06_ListingData.listingData","3222",""
"passed","TC01_SuccessfulRegistration.successfulRegistration","4982",""
"passed","TC05_UsingPrivacyStatement.openPrivacyStatement","4470",""
"passed","TC04_FailedLogin.failedLogin","3516",""
"passed","TC09_RepetitiveDataEntryFromExternalSource.addMultipleAddressesToAnAccount","6928",""
"passed","TC09_RepetitiveDataEntryFromExternalSource.addMultipleAddressesToAnAccount","7422",""
"passed","TC11_DeletingData.deleteAddressesFromAddressBook","9222",""
"passed","TC09_RepetitiveDataEntryFromExternalSource.addMultipleAddressesToAnAccount","6756",""
"passed","TC10_ExistingDataModification.modificationOfFirstName","5927",""
"passed","TC07_Pagination.pagination","3919",""
"passed","TC09_RepetitiveDataEntryFromExternalSource.addMultipleAddressesToAnAccount","6762",""
"passed","TC08_InputOfNewData.addAddressToAccount","6917",""
"passed","TC13_Logout.logoutTest","4124",""
